ID,Coordenadas,Features,Cluster
200,"[0, -12]","[200.0, 15.006489, 12.266408, 8.657195, 149.17498, 1.498958]",3
101,"[0, -29]","[101.0, 9.54022, 6.64402, -0.0, 84.164968, 15.148296]",3
205,"[2, -46]","[205.0, 15.013702, 12.975841, 8.658065, 155.770805, 12.914914]",3
303,"[46, -35]","[303.0, 18.316035, 10.481187, 5.963657, 4.726493, 10.391063]",3
240,"[17, -44]","[240.0, 9.509774, 6.638485, -0.0, 90.485808, 15.588749]",3
237,"[15, -44]","[237.0, 0.255045, 2.726953, 0.0, 37.481053, 11.038406]",3
236,"[15, -45]","[236.0, 8.689108, 10.449486, 3.297576, 162.146864, 22.0]",3
233,"[14, -44]","[233.0, 10.437332, 2.248105, -4.666957, 55.128019, 3.217449]",3
232,"[14, -45]","[232.0, 18.626362, 12.067454, 8.733333, 157.808113, 20.137731]",3
206,"[3, -44]","[206.0, 14.175861, 13.233297, 8.529158, 171.393063, 22.0]",3
204,"[1, -43]","[204.0, 10.428418, 7.77308, -0.0, 75.226173, 14.730913]",3
238,"[15, -43]","[238.0, 10.25314, 8.919867, -0.0, 79.977732, 16.409334]",3
304,"[46, -18]","[304.0, 9.436585, 6.617379, -0.0, 75.697938, 14.828644]",3
305,"[46, -6]","[305.0, 5.018454, 3.399931, -8.521666, 46.093177, 8.106438]",3
302,"[44, -4]","[302.0, 11.872968, 11.010098, 4.737627, 157.954299, 18.471257]",3
291,"[40, -32]","[291.0, 16.145288, 8.566696, 4.666667, 97.382449, 15.865521]",3
289,"[40, -33]","[289.0, 10.428418, 7.77308, -0.0, 75.226173, 14.730913]",3
299,"[43, -19]","[299.0, 20.655182, 12.910897, 8.733333, 169.239313, 22.0]",3
297,"[42, -9]","[297.0, 11.83974, 8.32684, -0.0, 90.822406, 16.383024]",3
296,"[42, -11]","[296.0, 12.008128, 12.639517, 8.566751, 156.823718, 16.494481]",3
295,"[42, -12]","[295.0, 5.0, 0.336205, -8.733333, 69.275021, 17.153078]",3
294,"[42, -13]","[294.0, 4.051338, 3.357179, 0.0, 191.469056, 15.45566]",3
293,"[42, -18]","[293.0, 11.839704, 12.836634, 8.588783, 155.494014, 15.203091]",3
292,"[41, -3]","[292.0, 5.022027, 2.948929, -8.620209, 102.281788, 13.361478]",3
280,"[32, -7]","[280.0, 14.75968, 13.197771, 8.623834, 137.984781, 18.268749]",3
281,"[32, -19]","[281.0, 10.514001, 6.434231, -0.0, 70.058164, 16.754809]",3
279,"[32, -28]","[279.0, 11.450224, 8.064517, -0.0, 86.473809, 14.584227]",3
286,"[36, -28]","[286.0, 15.759182, 12.387255, 8.724978, 134.292578, 5.736002]",3
287,"[36, -21]","[287.0, 19.433498, 11.937273, 8.724409, 153.30887, 18.679985]",3
288,"[36, -20]","[288.0, 10.523847, 8.149809, -0.0, 80.931088, 15.047364]",3
285,"[35, -13]","[285.0, 19.108397, 9.573656, 4.709501, 109.78867, 12.621829]",3
284,"[35, -27]","[284.0, 17.709122, 0.178531, -4.333333, 137.559217, 14.694155]",3
282,"[33, -28]","[282.0, 17.501558, 11.494457, 8.501058, 159.08461, 21.37205]",3
276,"[31, -29]","[276.0, 12.425112, 2.495414, -4.386572, 53.185514, 9.624003]",3
273,"[30, -29]","[273.0, 18.964873, 11.802657, 8.681083, 147.343636, 19.461312]",3
272,"[29, -35]","[272.0, 12.350497, 11.636742, 5.764091, 153.281976, 19.995643]",3
215,"[7, -34]","[215.0, 3.119136, 3.274837, 0.0, 38.333008, 11.973156]",3
212,"[6, -35]","[212.0, 17.679961, 11.134185, 8.705093, 150.308596, 22.0]",3
269,"[28, -27]","[269.0, 19.405529, 12.54087, 8.733333, 171.933072, 21.248626]",3
262,"[27, -31]","[262.0, 11.878943, 9.672313, -0.0, 90.671834, 16.926095]",3
261,"[27, -32]","[261.0, 12.260151, 14.789081, 8.531935, 163.891457, 19.615914]",3
221,"[9, -31]","[221.0, 20.322844, 12.497981, 8.733333, 168.540428, 13.772952]",3
216,"[7, -31]","[216.0, 9.570188, 6.685276, -0.0, 73.638718, 15.837498]",3
222,"[9, -30]","[222.0, 17.963611, 11.613765, 8.576968, 159.531206, 21.384392]",3
249,"[22, -30]","[249.0, 17.376221, 12.942377, 8.733333, 161.809981, 22.0]",3
253,"[23, -30]","[253.0, 14.628765, 5.145087, 4.311296, 63.546649, 17.554147]",3
263,"[27, -28]","[263.0, 13.993221, 6.584227, 3.649101, 94.600132, 14.57553]",3
227,"[12, -28]","[227.0, 17.475184, 12.173247, 8.733333, 165.40364, 15.982393]",3
209,"[5, -29]","[209.0, 14.674379, 7.451991, 4.358461, 145.99551, 15.178772]",3
245,"[19, -27]","[245.0, 19.426052, 6.640174, 4.685234, 95.215944, 11.909787]",3
277,"[31, -25]","[277.0, 4.906552, 3.807711, 0.0, 45.975864, 9.714718]",3
278,"[31, -8]","[278.0, 6.837492, 3.880953, -8.396749, 44.372088, 6.685576]",3
275,"[30, -14]","[275.0, 18.576964, 11.910378, 8.718312, 140.352476, 19.441566]",3
274,"[30, -18]","[274.0, 13.217939, 11.749447, 5.674677, 166.329056, 15.398678]",3
247,"[21, -25]","[247.0, 12.660097, 13.199028, 8.472815, 163.082994, 14.989443]",3
223,"[9, -25]","[223.0, 20.596882, 0.807473, -4.333333, 130.441054, 13.155527]",3
208,"[3, -24]","[208.0, 12.387536, 8.779016, 1.056502, 47.386077, 9.486806]",3
207,"[3, -41]","[207.0, 13.700964, 11.808332, 6.143308, 173.395546, 22.0]",3
211,"[5, -42]","[211.0, 7.160145, 7.107339, -0.0, 99.443978, 16.801704]",3
234,"[14, -42]","[234.0, 16.736375, 11.500035, 8.496801, 153.053947, 22.0]",3
239,"[15, -42]","[239.0, 17.344381, 12.059072, 8.733333, 149.153015, 16.285497]",3
241,"[17, -42]","[241.0, 5.747034, 2.905759, -8.628533, 46.202053, 13.23877]",3
300,"[44, -34]","[300.0, 5.044648, 2.095346, -8.729488, 49.12796, 4.288641]",3
301,"[44, -26]","[301.0, 13.413882, 7.270753, 2.953129, 84.966844, 15.500035]",3
